RA,DEC,DIST,MAG,TYPE,NAME,SIZE
111.02376,-29.303104,609.7561,2.45,star B5Ia,"Aludra ;HIP 35904 ;HD  58350 ;HR  2827 ;BF  31Eta CMa ;",0
319.64445,62.585573,15.0376,2.45,star A7IV-V,"Alderamin ;HIP 105199 ;HD  203280 ;HR  8162 ;GL  Gl 826 ;BF  5Alp Cep ;",0
140.52843,-55.010668,175.4386,2.47,star B2IV,"HIP 45941 ;HD  81188 ;HR  3734 ;BF  Kap Vel ;",0
311.55267,33.970256,22.2916,2.48,star K0III,"Gienah ;HIP 102488 ;HD  197989 ;HR  7949 ;GL  Gl 806.1A ;BF  53Eps Cyg ;",0
346.19022,15.205264,40.8831,2.49,star B9.5III,"Markab ;HIP 113963 ;HD  218045 ;HR  8781 ;BF  54Alp Peg ;",0
45.56988,4.089734,76.3942,2.54,star M2III,"Menkar ;HIP 14135 ;HD  18884 ;HR  911 ;BF  92Alp Cet ;",0
249.28974,-10.56709,112.2334,2.54,star O9.5V,"HIP 81377 ;HD  149757 ;HR  6175 ;BF  13Zet Oph ;",0
208.885005,-47.288375,117.096,2.55,star B2.5IV,"HIP 68002 ;HD  121263 ;HR  5231 ;BF  Zet Cen ;",0
168.52707,20.523717,17.9147,2.56,star A4V,"Zosma ;HIP 54872 ;HD  97603 ;HR  4357 ;GL  Gl 419 ;BF  68Del Leo ;",0
241.3593,-19.805453,123.9157,2.56,star B0.5V,"Graffias ;HIP 78820 ;HD  144217 ;HR  5984 ;BF  8Bet1Sco ;",0
83.18256,-17.822289,680.2721,2.58,star F0Ib,"Arneb ;HIP 25985 ;HD  36673 ;HR  1865 ;BF  11Alp Lep ;",0
182.08965,-50.722425,127.2265,2.58,star B2IVne,"HIP 59196 ;HD  105435 ;HR  4621 ;BF  Del Cen ;",0
183.951555,-17.541929,47.1032,2.58,star B8III,"Gienah Ghurab ;HIP 59803 ;HD  106625 ;HR  4662 ;BF  4Gam Crv ;",0
285.65298,-29.880105,27.0416,2.6,star A3IV,"HIP 93506 ;HD  176687 ;HR  7194 ;BF  38Zet Sgr ;",0
229.251735,-9.382917,56.7537,2.61,star B8V,"Zubeneschemali ;HIP 74785 ;HD  135742 ;HR  5685 ;BF  27Bet Lib ;",0
236.06697,6.425627,22.6757,2.63,star K2III,"Unukalhai ;HIP 77070 ;HD  140573 ;HR  5854 ;GL  Gl 596.2 ;BF  24Alp Ser ;",0
28.66002,20.808035,17.9856,2.64,star A5V...,"Sheratan ;HIP 8903 ;HD  11636 ;HR  553 ;GL  Gl 80 ;BF  6Bet Ari ;",0
84.912255,-34.074108,80.1282,2.65,star B7IV,"Phakt ;HIP 26634 ;HD  37795 ;HR  1956 ;BF  Alp Col ;",0
89.930265,37.212585,50.7614,2.65,star A0p Si,"HIP 28380 ;HD  40312 ;HR  2095 ;BF  37The Aur ;",0
188.596815,-23.396759,44.6628,2.65,star G5II,"Kraz ;HIP 61359 ;HD  109379 ;HR  4786 ;BF  9Bet Crv ;",0
21.45324,60.235283,30.4785,2.66,star A5Vv SB,"Ruchbah ;HIP 6686 ;HD  8538 ;HR  403 ;BF  37Del Cas ;",0
208.671165,18.397717,11.396,2.68,star G0IV,"Mufrid ;HIP 67927 ;HD  121370 ;HR  5235 ;GL  Gl 534 ;BF  8Eta Boo ;",0
224.633055,-43.13396,117.3709,2.68,star B2III,"HIP 73273 ;HD  132058 ;HR  5571 ;BF  Bet Lup ;",0
74.24841,33.16609,151.2859,2.69,star K3IIvar,"Hassaleh ;HIP 23015 ;HD  31398 ;HR  1577 ;BF  3Iot Aur ;",0
161.69232,-49.420255,35.9195,2.69,star G5III SB,"HIP 52727 ;HD  93497 ;HR  4216 ;BF  Mu  Vel ;",0
189.296085,-69.135564,96.7118,2.69,star B2IV-V,"HIP 61585 ;HD  109668 ;HR  4798 ;BF  Alp Mus ;",0
262.69098,-37.295811,176.6784,2.7,star B2IV,"HIP 85696 ;HD  158408 ;HR  6508 ;BF  34Ups Sco ;",0
109.285665,-37.09747,247.5248,2.71,star K3Ib,"HIP 35264 ;HD  56855 ;HR  2773 ;BF  Pi  Pup ;",0
275.2485,-29.828103,106.6098,2.72,star K3III,"Kaus Meridionalis ;HIP 89931 ;HD  168454 ;HR  6859 ;BF  19Del Sgr ;",0
296.56491,10.613261,121.0654,2.72,star K3II,"Tarazed ;HIP 97278 ;HD  186791 ;HR  7525 ;BF  50Gam Aql ;",0
243.58641,-3.694323,52.4659,2.73,star M1III,"HIP 79593 ;HD  146051 ;HR  6056 ;BF  1Del Oph ;",0
245.9979,61.514213,28.2326,2.73,star G8III,"HIP 80331 ;HD  148387 ;HR  6132 ;GL  Gl 624.1A ;BF  14Eta Dra ;",0
160.739235,-64.39445,139.6648,2.74,star B0Vp,"HIP 52419 ;HD  93030 ;HR  4199 ;BF  The Car ;",0
190.415175,-1.449375,11.685,2.74,star F0V+...,"Porrima ;HIP 61941 ;HD  110379 ;HR  4825 ;GL  Gl 482A ;BF  29Gam Vir ;",0
83.858265,-5.909901,714.2857,2.75,star O9III,"Hatsya ;HIP 26241 ;HD  37043 ;HR  1899 ;BF  44Iot Ori ;",0
200.14944,-36.712295,18.0213,2.75,star A2V,"HIP 65109 ;HD  115892 ;HR  5028 ;GL  Gl 508.1 ;BF  Iot Cen ;",0
222.719655,-16.041778,23.2396,2.75,star A3IV,"Zubenelgenubi ;HIP 72622 ;HD  130841 ;HR  5531 ;GL  Gl 564.1 ;BF  9Alp2Lib ;",0
265.868145,4.567303,25.0941,2.76,star K2III,"Cebalrai ;HIP 86742 ;HD  161096 ;HR  6603 ;BF  60Bet Oph ;",0
76.962435,-5.086446,27.3973,2.78,star A3IIIvar,"Cursa ;HIP 23875 ;HD  33111 ;HR  1666 ;GL  Wo 9175 ;BF  67Bet Eri ;",0
247.55502,21.489613,42.6621,2.78,star G8III,"Kornephoros ;HIP 80816 ;HD  148856 ;HR  6148 ;BF  27Bet Her ;",0
258.661905,14.390333,110.2536,2.78,star M5IIvar,"Rasalgethi ;HIP 84345 ;HD  156014 ;HR  6406 ;BF  64Alp1Her ;",0
183.786405,-58.748928,105.8201,2.79,star B2IV,"HIP 59747 ;HD  106490 ;HR  4656 ;BF  Del Cru ;",0
262.608195,52.301387,116.5501,2.79,star G2II,"Rastaban ;HIP 85670 ;HD  159181 ;HR  6536 ;BF  23Bet Dra ;",0
